onset	duration	correct	condition	response_time
0.395	1	N	congruent	0.699
7.898	1	Y	congruent	0.720
10.9	1	Y	neutral	0.649
13.901	1	Y	incongruent	0.533
28.902	1	Y	neutral	0.730
31.907	1	Y	neutral	0.767
34.908	1	Y	neutral	0.736
37.909	1	Y	congruent	0.567
42.41	1	Y	congruent	0.596
45.412	1	Y	neutral	0.551
48.413	1	Y	neutral	0.615
57.414	1	Y	neutral	0.635
63.417	1	Y	congruent	0.574
66.419	1	Y	neutral	0.761
69.42	1	Y	incongruent	0.610
73.921	1	Y	incongruent	0.721
76.922	1	Y	congruent	0.620
79.923	1	Y	congruent	0.734
88.924	1	Y	neutral	0.802
91.927	1	Y	neutral	0.649
94.928	1	Y	congruent	0.608
97.929	1	Y	neutral	0.747
105.431	1	Y	neutral	0.786
109.933	1	Y	incongruent	0.650
112.935	1	Y	neutral	0.679
117.436	1	Y	incongruent	0.665
123.437	1	Y	congruent	0.710
127.939	1	Y	neutral	0.840
130.941	1	Y	congruent	0.744
133.942	1	Y	neutral	0.916
136.943	1	Y	neutral	0.735
142.944	1	Y	congruent	0.610
147.446	1	Y	incongruent	0.833
150.447	1	Y	neutral	0.787
154.948	1	N	incongruent	0.741
157.95	1	Y	congruent	0.818
160.951	1	Y	congruent	0.832
165.452	1	Y	incongruent	0.831
174.453	1	Y	neutral	0.645
177.456	1	Y	neutral	0.719
181.957	1	Y	incongruent	0.675
192.459	1	Y	incongruent	1.144
195.462	1	Y	neutral	0.646
201.463	1	Y	neutral	0.789
204.465	1	Y	congruent	0.645
207.466	1	N	neutral	0.000
210.467	1	N	incongruent	0.699
213.468	1	Y	congruent	0.583
219.469	1	Y	congruent	0.851
222.472	1	Y	congruent	0.670
225.473	1	Y	congruent	0.649
228.474	1	Y	congruent	0.776
231.475	1	Y	neutral	0.805
237.476	1	Y	congruent	0.608
240.478	1	Y	neutral	1.054
243.479	1	Y	congruent	0.523
246.48	1	Y	incongruent	1.067
250.981	1	Y	neutral	0.674
258.482	1	Y	congruent	0.684
289.985	1	Y	congruent	0.777
294.495	1	Y	congruent	0.566
298.997	1	Y	incongruent	0.741
301.998	1	N	incongruent	0.663
307.999	1	Y	incongruent	0.898
311.001	1	Y	congruent	0.565
314.002	1	Y	incongruent	0.646
317.003	1	Y	congruent	0.803
321.504	1	N	incongruent	0.703
324.506	1	Y	neutral	0.667
327.507	1	Y	neutral	0.764
330.508	1	Y	incongruent	0.666
333.509	1	N	incongruent	1.085
339.51	1	Y	incongruent	1.128
345.512	1	Y	neutral	0.751
348.514	1	Y	incongruent	0.808
351.515	1	Y	incongruent	0.977
354.516	1	Y	neutral	0.993
357.517	1	Y	neutral	0.917
360.518	1	Y	incongruent	1.004
374.019	1	Y	neutral	0.898
377.024	1	Y	neutral	0.642
384.525	1	Y	congruent	0.554
387.527	1	Y	neutral	0.811
392.028	1	Y	congruent	0.542
396.53	1	Y	congruent	0.725
399.531	1	Y	neutral	0.994
404.032	1	Y	congruent	0.803
407.034	1	Y	congruent	1.057
417.535	1	Y	incongruent	1.187
423.538	1	Y	incongruent	1.007
426.54	1	Y	incongruent	1.056
429.541	1	Y	congruent	0.928
432.542	1	Y	incongruent	0.657
435.543	1	Y	congruent	1.433
438.544	1	Y	congruent	0.630
441.545	1	Y	congruent	0.784
444.546	1	N	incongruent	0.973
447.547	1	Y	congruent	0.904
450.548	1	N	neutral	0.000
453.549	1	Y	neutral	0.783
459.55	1	Y	incongruent	0.759
464.053	1	Y	congruent	0.769
470.054	1	N	neutral	0.000
473.056	1	Y	incongruent	0.621
482.057	1	Y	congruent	0.558
485.06	1	Y	neutral	0.992
488.061	1	Y	congruent	0.601
492.562	1	Y	incongruent	0.696
495.564	1	N	neutral	1.048
498.565	1	Y	congruent	0.807
501.566	1	Y	incongruent	0.776
506.067	1	Y	neutral	1.121
510.568	1	N	congruent	0.795
513.57	1	N	neutral	0.000
516.571	1	Y	congruent	0.718
519.572	1	Y	incongruent	0.942
522.573	1	Y	incongruent	0.941
530.074	1	Y	incongruent	1.067
533.076	1	Y	neutral	0.656
